"name","abd","abd_unit","lat","lng","state","county","comment"
"Mammuthus columbi","","",34.0,-118.199997,"California","based on political unit","Rolling Hills Estates"

"Mammuthus","","",32.799999,-96.599998,"Texas","based on political unit",""

"Mammuthus columbi","","",50.799999,-103.900002,"Saskatchewan","based on nearby landmark",""

"Mammuthus columbi","","",31.916668,-81.066666,"Georgia","estimated from map","shown on map as being about 1 km NW of Jones Girls, so coordinate for that collection is used\n""southwestern end of Skidaway Island"""

"Mammuthus columbi","5","specimens",32.799999,-95.900002,"Texas","based on political unit","8 km SSW of Point"

"Mammuthus columbi","","",37.200001,-100.300003,"Kansas","based on political unit","Big Springs Ranch"

"Mammuthus columbi","","",37.900002,-122.099998,"California","based on political unit","San Pablo Bay"

"Mammuthus","1","specimens",42.799999,-112.900002,"Idaho","based on political unit","beneath Interstate 86, near Massacre Rocks State Park"

"Mammuthus columbi","1","specimens",32.0,-81.099998,"Georgia","stated in text","no details given"

"Mammuthus columbi","","",50.099998,-110.699997,"Alberta","based on nearby landmark",""

"Mammuthus columbi","","",37.299999,-105.0,"Colorado","based on political unit","Donnelly Ranch"

"Mammuthus","","",44.983334,-108.199997,"Wyoming","stated in text","""NW 1/4, SE 1/4, sec #28, T58N, R94W... a 26 m deep sinkhole"" with a ""4.6 m-diameter"" (NW 1/4 SW 1/4 according to Martin et al. 1977)"

"Mammuthus primigenius","","",68.199997,-140.0,"Yukon","based on nearby landmark","Unit 2"

"Mammuthus","","",68.199997,-140.0,"Yukon","based on nearby landmark",""

"Mammuthus","","",29.799999,-82.099998,"Florida","based on political unit",""

"Mammuthus","2","specimens",29.4,-111.0,"Sonora","based on nearby landmark","Rio Santo Domingo, 33 km NNE of Hermosillo"

"Mammuthus","","",28.716667,-81.449997,"Florida","based on nearby landmark","6 km S of Mt. Plymouth\n""6 miles north of Apopka, Orange County... north-central portion of section 15, T. 20 S., R. 28 E... from Rock Spring Run within 200 yards of the source"" according to Woolfenden 1959 (coordinate based on Rock Springs Run)"

"Mammuthus columbi","","",37.900002,-122.099998,"California","based on political unit","San Pablo Bay"

"Mammuthus","","",34.0,-118.0,"California","based on political unit",""

"Mammuthus","","",52.099998,-106.699997,"Saskatchewan","based on nearby landmark","South Saskatchewan River"

"Mammuthus columbi","","",40.900002,-111.199997,"Utah","based on political unit","5 mi N of Park City"

"Mammuthus","","",38.599998,-121.5,"California","based on political unit","Sacramento"

"Mammuthus","","",29.4,-82.599998,"Florida","based on political unit",""

"Mammuthus","","",28.799999,-82.199997,"Florida","based on political unit",""

"Mammuthus","","",26.500278,-81.199997,"Florida","based on political unit","from a ""cow-pond on a large ranch in central Hendry County"""

"Mammuthus columbi","","",27.638332,-80.397499,"Florida","based on nearby landmark","Vero, on the Atlantic Coast, Florida."

"Mammuthus columbi","","",42.1189,-101.186203,"Nebraska","stated in text","within small side canyon on N side of North Branch of Middle Loup River, Sec. 18, T25N, R33W, Cherry Co., Nebraska. About 12 miles NW of Mullen, NE."

"Mammuthus columbi","","",42.1189,-101.186203,"Nebraska","stated in text","within small side canyon on N side of North Branch of Middle Loup River, Sec. 18, T25N, R33W, Cherry Co., Nebraska. About 12 miles NW of Mullen, NE."

"Mammuthus columbi","1","individuals",20.666668,-103.333336,"Jalisco","based on nearby landmark","A skeleton of a giant mastodon was discovered some years ago in the valley of Zacualco, a score of miles south of Guadalajara. The lat long is for Guadalajara. (A search produced the town of Zacoalco, approximately 70 km south of Guadalajara, but nothing with the spelling given in the reference.)\nGeographic resolution set to small collection because there is just one skeleton (JA)."

"Mammuthus hayi","","",27.830278,-80.811386,"Florida","estimated from map","SW1/4 of NE1/4 of of section 34, T30S, R35E, Keanansville SE USGS 7.5 minute topographic map"

"Mammuthus columbi","","",43.763889,-84.536667,"Michigan","estimated from map","two miles east of Coleman in the extreme southwest corner of Sec. 22, T16N, R2W (Warren Twp.), Midland County."

"Mammuthus columbi","1","specimens",44.302776,-85.326385,"Michigan","estimated from map","Sec. 18 T22N R8E"

"Mammuthus columbi","1","specimens",41.978611,-86.310555,"Michigan","estimated from map","near Eu Claire, Berrien Township"

"Mammuthus columbi","1","specimens",42.96389,-83.919167,"Michigan","estimated from map","near Lennon, Clayton Township"

"Mammuthus columbi","1","specimens",43.684166,-83.068336,"Michigan","estimated from map","near New Greenleaf, Sheridan Township"

"Mammuthus columbi","1","specimens",42.592777,-84.269447,"Michigan","estimated from map","near Dansville, Ingham Township, Sec. 1, T2N, R1E"

"Mammuthus columbi","1","specimens",42.387501,-84.121941,"Michigan","estimated from map","near Springport, Springport Township, Sec. 3, T1S, R3W"

"Mammuthus columbi","1","specimens",41.790279,-84.186668,"Michigan","estimated from map","Sec. 9, T8S, R2E"

"Mammuthus primigenius","1","specimens",42.55389,-83.703056,"Michigan","estimated from map","near South Lyon, Brighton Township, T2N, R6E"

"Mammuthus","1","specimens",42.183887,-84.042221,"Michigan","estimated from map","Sharon Township, Section 26, T3S, R3E"

"Mammuthus","1","specimens",44.148609,-84.137222,"Michigan","estimated from map","farm pond near Alger in the SE 1/4, NE 1/4, NW 1/4, Sec. 8 T20N, R3E, Moffat Township"

"Mammuthus","1","specimens",41.764721,-86.581947,"Michigan","estimated from map","Two miles southeast of Three Oaks, Three Oaks Township, NE1/4 of section 24, T8S, R20W"

"Mammuthus","1","specimens",42.486942,-84.748055,"Michigan","estimated from map","near Eaton Rapids, on Wilcox Road, Brookfield Township, NW1/4 of Section 11, T1N, R4W"

"Mammuthus","1","specimens",42.458332,-84.492226,"Michigan","estimated from map","three miles west of Leslie, approximately Section 24, T1N, R2W"

"Mammuthus","1","specimens",42.386112,-84.571114,"Michigan","estimated from map","southeast of Eaton Rapids, Tompkins Township in Section 17 T1S, R2W"

"Mammuthus","1","specimens",43.415001,-84.004997,"Michigan","estimated from map","Saginaw Township, Section 28, T12N, R4E"

"Mammuthus","1","specimens",42.812222,-84.208611,"Michigan","estimated from map","near Perry, one mile away Perry Township, Section 22 T5N R2E"

"Mammuthus","1","specimens",41.878334,-86.618889,"Michigan","based on nearby landmark","approximately 1/4 mile east and 1/8 mile north of Harbert, Chikaming Township in the SE1/4 SE1/4 SW1/4 section 10 T7S, R20W"

"Mammuthus","1","specimens",43.362499,-83.154724,"Michigan","estimated from map","near Marlette, 2 miles north and 3 miles west, Koylton TOWNSHIP, SW1/4 SECTION 22, T11N, R11E"

"Mammuthus","1","specimens",42.313057,-84.512497,"Michigan","estimated from map","six miles northwest of Jackson, Sandstone Township, approximately sec. 11 T2S, R2W"

"Mammuthus","1","specimens",43.050278,-85.460556,"Michigan","estimated from map","Se1/4 NE1/4 of sec. 26 T8N, R10W"

"Mammuthus columbi","1","specimens",42.2075,-86.310837,"Michigan","estimated from map","Watervliet Township, Sec. 17, T3S, R17W"

"Mammuthus","1","specimens",44.077221,-83.696388,"Michigan","estimated from map","Sec. 1 T19N R6E"

"Mammuthus","1","specimens",42.484165,-83.603889,"Michigan","estimated from map","NW1/4 of Sec. 15 T1N R7W"

"Mammuthus","1","specimens",41.950279,-86.561386,"Michigan","unpublished field data","T6S R19W"

"Mammuthus","1","specimens",41.805557,-86.561943,"Michigan","estimated from map","NE1/4 Sec. 6 T8S R19W"

"Mammuthus","1","specimens",42.12278,-86.341667,"Michigan","estimated from map","precise locality unknown"

"Mammuthus","1","specimens",41.816666,-85.847504,"Michigan","estimated from map","NW1/4 Sec. 32 T7S R13W"

"Mammuthus","1","specimens",42.487221,-84.650002,"Michigan","estimated from map","Sec. 10 T1N R3W"

"Mammuthus","1","specimens",42.762779,-84.746109,"Michigan","estimated from map","N of Grand Ledge, precise locality unknown"

"Mammuthus","1","specimens",42.56361,-84.835831,"Michigan","estimated from map","precise locality unknown"

"Mammuthus","1","specimens",43.980556,-84.476112,"Michigan","estimated from map","Sec. 6 T18N, R1W"

"Mammuthus","1","specimens",43.098057,-84.846664,"Michigan","estimated from map","Sec. 12 T8N R5W"

"Mammuthus","1","specimens",42.380001,-84.349167,"Michigan","estimated from map","precise locality unknown"

"Mammuthus","1","specimens",42.920555,-85.676109,"Michigan","estimated from map","Sec. 12 T6N R12W"

"Mammuthus","1","specimens",43.183613,-85.382225,"Michigan","estimated from map","Sec. 9 T9N R9W"

"Mammuthus","1","specimens",43.124722,-85.560837,"Michigan","estimated from map","Sec. 36 T9N R11W"

"Mammuthus","1","specimens",42.963333,-85.668053,"Michigan","estimated from map","precise locality unknown"

"Mammuthus","1","specimens",42.001389,-83.839996,"Michigan","estimated from map","Sec. 33 T5S R5E"

"Mammuthus","1","specimens",42.761665,-82.90139,"Michigan","","precise locality unknown"

"Mammuthus","1","specimens",42.7225,-83.496391,"Michigan","estimated from map","Sec. 27, T4N R8E"

"Mammuthus","1","specimens",42.964722,-86.033607,"Michigan","estimated from map","Sec. 25 T7N R15W"

"Mammuthus","1","specimens",42.798058,-84.188332,"Michigan","estimated from map","Sec. 36 T5N R2E"

"Mammuthus","1","specimens",43.005001,-84.176666,"Michigan","estimated from map","Sec. 13 T7N R2E"

"Mammuthus","1","specimens",42.324444,-85.775276,"Michigan","estimated from map","Sec. 1 T2S R13W"

"Mammuthus","1","specimens",43.027222,-83.527779,"Michigan","unpublished field data","Sec. 9, T7N, R8E, Richfield Township"

"Mammuthus","1","specimens",42.106388,-86.040558,"Michigan","estimated from map","Sec. 22 T4S R15W"

"Mammuthus","1","specimens",42.301945,-84.024445,"Michigan","estimated from map","Sec. 13 T2S R3E"

"Mammuthus columbi","","",32.559166,-80.292503,"South Carolina","estimated from map",""

"Mammuthus","","",39.0,-74.166664,"New Jersey","stated in text","Loran readings are between E-W 42792-42797 and 26855-26857 N-S diagonals"

"Mammuthus","","",35.341389,-120.161942,"California","estimated from map","Carrizo Plains"

"Mammuthus","","",35.51889,-120.522781,"California","estimated from map",""

"Mammuthus","","",35.207222,-120.451942,"California","estimated from map",""

"Mammuthus","","",35.028889,-120.496109,"California","estimated from map",""

"Mammuthus","","",35.585556,-120.691109,"California","estimated from map","Salinas River Valley"

"Mammuthus","","",35.752499,-120.695274,"California","estimated from map",""

"Mammuthus columbi","","",36.116669,-98.633331,"Oklahoma","stated in text","""on the shore of Canton Lake... T19N, R13W, sec. 18... at the base of a bank, 2 m high, that was eroded to a vertical face."""""

"Mammuthus","","",23.816668,-100.716667,"San Luis Potosi","","elevation 1700 m; ""on the outskirts"" of El Cedral"

"Mammuthus","","",19.033333,-98.783333,"Mexico","","north of the Cerro Chimalhuaque; elevation 2239 m"

"Mammuthus","","",19.033333,-98.783333,"Mexico","","north of the Cerro Chimalhuaque; elevation 2239 m"

"Mammuthus","","",19.033333,-98.783333,"Mexico","","north of the Cerro Chimalhuaque; elevation 2239 m"

"Mammuthus columbi","","",37.483334,-100.666664,"Kansas","based on political unit","""The specimen was taken on a tributary of Shorts Creek... known locally as Lone Tree Arroyo... located on the XI Ranch in T34S, R29W, Sec. 32"" (Rinker 1949)"

"Mammuthus","1","individuals",69.583336,-139.083328,"Yukon","estimated from map","Herschel Island, southwestern part"

"Mammuthus primigenius","1","individuals",69.583336,-139.083328,"Yukon","estimated from map","Herschel Island, southwestern part"

"Mammuthus","1","individuals",74.300003,-123.083336,"Nunavut","stated in text","Banks Island"

"Mammuthus","1","individuals",69.474998,-135.625,"Nunavut","stated in text",""

"Mammuthus","1","specimens",68.466667,-96.51667,"Nunavut","estimated from map",""

"Mammuthus","","",37.866669,-84.75,"Kentucky","stated in text",""

"Mammuthus columbi","1","specimens",36.799999,-100.683334,"Oklahoma","stated in text","""NW1/4, S22, T4N, R22E... just within the boundary of the Beaver Creek State Wildlife Management Area, on the north side of the creek [Elm Creek], and just past a large protected prairie dog town"""

"Mammuthus primigenius","","",36.266666,-83.133331,"Tennessee","based on nearby landmark","coordinate based on Whitesburg"

"Mammuthus","","",35.616669,-87.033333,"Tennessee","based on nearby landmark","coordinate based on Columbia"

"Mammuthus","","",32.383331,-100.866669,"Texas","based on nearby landmark","""a point near the Colorado River, near the southeastern end of the Staked Plains, and near the little town of Colorado [City], Texas, on Lone Wolf Creek"" (coordinate based on Lone Wolf Creek)"

"Mammuthus","1","specimens",63.073055,-139.312775,"Yukon","stated in text","""at Eddas Bench, on Thistle Creek"""

"Mammuthus columbi","","",30.333332,-110.166664,"Sonora","based on nearby landmark","""one mile east of Arizpe, 60 miles southeast of Cananea, Sonora"" (coordinate based on Arizpe)"

"Mammuthus columbi","1","specimens",39.583332,-111.25,"Utah","stated in text","""SW1/4, NE1/4, SW1/4, Sec. 21, T14S, R6E... elevation 2,740 m, at Huntington Dam at the confluence of Spring and Lake Canyon Creeks in the upper reaches of Huntington Canyon"""

"Mammuthus","","",24.6,-99.216667,"Tamaulipas","based on nearby landmark","""Lands of Ejido San Lázaro in the Municipio de Villagrán in the northwestern part of the State of Tamaulipas"" and shown on map as just southeast of Guadalupe (basis of coordinate), a town WNW of Garza Valdez"

"Mammuthus primigenius","","",47.483334,-117.566666,"Washington","based on nearby landmark","""a mile southwest of Cheney... on a hillside"""

"Mammuthus primigenius","","",39.616669,-87.699997,"Illinois","based on nearby landmark","""about eight miles southwest of Paris"""

"Mammuthus primigenius","","",40.049999,-111.73333,"Utah","based on nearby landmark","""gravel pits two and one half miles east of Payson"""

"Mammuthus primigenius","","",42.516666,-83.616669,"Michigan","based on nearby landmark","""about one and a half miles north of New Hudson"" (basis of coordinate)"

"Mammuthus","","",32.25,-109.833336,"Arizona","based on nearby landmark","""Wilcox Playa in Sulfur Springs Valley"" (coordinate based on Wilcox)"

"Mammuthus","","",29.883333,-82.883331,"Florida","based on nearby landmark","""from the bottom of the Santa Fe River [basis of coordinate]... In a pothole"""

"Mammuthus","","",44.533333,-122.900002,"Oregon","based on nearby landmark","""about three miles outside of Lebanon [basis of coordinate]"" in a rancher's ""spring... in a very slight swale-like depression... in the bottom of a hole eight by six feet along the two axes"""

"Mammuthus columbi","","",31.343889,-109.957222,"Arizona","stated in text","""in an arroyo eroded by Greenbush Creek one mile northwest of Naco... R23E, T24S, S13, NE1/4... the bones were scattered over and area of approximately 7 meters east-west by 4 meters north-south"" (coordinate based on Greenbush Draw)"

"Mammuthus columbi","","",44.033333,-107.866669,"Wyoming","stated in text","""in the Bighorn Basin... a few kilometers east of the Bighorn River""; this coordinate places the locality on the Banjo Flats West or Neiber USGS topo map and therefore in Washakie County"

"Mammuthus","","",29.583332,-98.400002,"Texas","based on nearby landmark","""northern Bexar County... The main chamber... is about 60 feet long and 30 feet in maximum width"" (coordinate based on Friesenhan Park)"

"Mammuthus","","",66.252502,-166.088058,"Alaska","estimated from map","Seward Peninsula"

"Mammuthus columbi","","",32.365555,-87.303329,"Alabama","estimated from map","near Bogue Chitto"

"Mammuthus","","",37.766666,-97.400002,"Kansas","stated in text","""Sec. 23, T26S, R1W"""

"Mammuthus","","",37.633331,-97.400002,"Kansas","stated in text","""Sec. 11, T28S, R1W"""

"Mammuthus","","",37.733334,-97.416664,"Kansas","stated in text","""Sec. 3, T27S, R1W"""

"Mammuthus","","",37.733334,-97.400002,"Kansas","stated in text","""Sec. 2, T27S, R1W"""

"Mammuthus columbi","","",30.566668,-96.416664,"Texas","based on nearby landmark","edentates specimens are from two localities ""over a quarter mile"" apart near the Pitts Bridge ""on the Brazos County side of the [Brazos] river,"" which is ""about eight miles south and west of Bryan"" and therefore possibly the same as Jones Bridge (basis of coordinate), the only bridge now in this area"

"Mammuthus columbi","","",30.566668,-96.416664,"Texas","based on nearby landmark","edentates specimens are from two localities ""over a quarter mile"" apart near the Pitts Bridge ""on the Brazos County side of the [Brazos] river,"" which is ""about eight miles south and west of Bryan"" and therefore possibly the same as Jones Bridge (basis of coordinate), the only bridge now in this area"

"Mammuthus","","",36.566666,-110.650002,"Arizona","stated in text","""from the side of a stabilized sand dune"""

"Mammuthus","","",34.266666,-109.333336,"Arizona","stated in text","""sections 2, 11, and 12, T10N, R28E"""

"Mammuthus","","",27.683332,-110.616669,"Sonora","based on nearby landmark","""16 km west and north"" of Tesopaco according to ""Gentry's field notes"" but actually ""about 10 km west"" in the Rio Yaqui drainage (basis of coordinate)"

"Mammuthus","","",33.762501,-118.293335,"California","estimated from map",""

"Mammuthus columbi","","",11.78644,-86.51664,"","estimated from map","base of a sea cliff"

"Mammuthus columbi","","",11.45666,-85.902992,"","estimated from map",""

"Mammuthus","","",37.75222,-89.874443,"Missouri","stated in text","""in a gravel bar of an intermittent stream... approximately one kilometer from the only known entrance to the cave""\ntwo felid specimens were found ""approximately 65 meters"" apart"

"Mammuthus columbi","","",36.983334,-100.333336,"Oklahoma","stated in text","""on the XI Ranch... in sec. 15, T.6 N., R. 25 E."" (Lunk 1952)"

"Mammuthus columbi","","",34.783333,-91.583336,"Arkansas","based on nearby landmark","""Interstate Highway 40/State Highway 11 overpass about 2 mi northeast of Hazen"" (coordinate based on Hazen)\nthe ""remains were scattered over an area of at least 150 m2"""

"Mammuthus exilis","1","specimens",34.034168,-120.046669,"California","estimated from map","Santa Rosa Island"

"Mammuthus primigenius","","",57.177502,-170.344727,"Alaska","estimated from map","The cave is said to be in the ""central highlands"" of the island. Coordinates are approximate."

"Mammuthus columbi","","",32.714722,-96.707497,"Texas","estimated from map",""

"Mammuthus","","",34.883331,-106.883331,"New Mexico","stated in text","""8 miles west of Isleta, Bernalillo County, New Mexico, N1/2sec. 31, T. 8 N., R. 1 E., N.M.P.M"" in a ""cave chamber measuring some 20 meters in its greatest dimension north to south... Isleta 2, about a quarter mile south of Isleta 1 is a flask-shaped chamber, averaging 25 feet in diameter"""

"Mammuthus","","",30.265278,-98.255836,"Texas","based on nearby landmark","from the larger of two excavations areas ""at 301 Congress Avenue in the main business district of Austin"""

"Mammuthus","","",44.983334,-108.199997,"Wyoming","stated in text","""NW 1/4, SE 1/4, sec #28, T58N, R94W... a 26 m deep sinkhole"" with a ""4.6 m-diameter"" at an elevation of 1300 m according to Wang and Martin 1993 (but NW 1/4 SW 1/4 at an elevation of 1510 m according to Martin et al. 1977)"

"Mammuthus columbi","","",44.633331,-112.583336,"Montana","based on nearby landmark","coordinate based on Lima"

"Mammuthus columbi","","",32.116669,-103.199997,"New Mexico","based on nearby landmark","""south of Jal"" (basis of coordinate)"

"Mammuthus","","",40.916668,-122.23333,"California","based on nearby landmark","""on the east bank of the McCould River and about sixteen miles above its mouth"" (coordinate based on Samwell Cave) with the main fossiliferous deposit being found in ""a vertical fissure about thirty feet high"" that ""extends twenty feet"" and ""slopes down to the floor of the main chamber"""

"Mammuthus columbi","","",43.333332,-120.5,"Oregon","stated in text","""in south-central Oregon in longitude 120º 30' West and latitude of 43º 20' North"" (consistent with GNIS data)"

"Mammuthus","","",40.458332,-111.916664,"Utah","stated in text","""SW1/4, NE1/4, Sec. 23, T4S, R1W... at 111º55'W longitude, 40º27'30""N latitude"""

